ticker,start_year,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
BND,2015,2015-01-02,2026-08-31,140,1400000.0,1536137.550279,1714195.729289,0.097241,0.224426,-0.103873,-0.175302,1051.0,-0.185821,,-0.068518,-0.011382
BND,2016,2016-01-04,2026-08-31,128,1280000.0,1390009.261174,1564624.252385,0.085945,0.222363,-0.111602,-0.173567,1050.0,-0.185821,,-0.081474,0.0
BND,2017,2017-01-03,2026-08-31,116,1160000.0,1248324.058864,1382210.055917,0.076141,0.19156,-0.096864,-0.171234,1019.0,-0.185821,,-0.093555,-0.005412
BND,2018,2018-01-02,2026-08-31,104,1040000.0,1108293.42085,1195084.502281,0.065667,0.14912,-0.072623,-0.167853,984.0,-0.185821,,-0.108247,-0.037459
BND,2019,2019-01-02,2026-08-31,92,920000.0,968498.378487,1050865.210955,0.052716,0.142245,-0.07838,-0.162444,690.0,-0.185821,,-0.130174,-0.043218
BND,2020,2020-01-02,2026-08-31,80,800000.0,837678.484644,840218.552569,0.047098,0.050273,-0.003023,-0.154831,652.0,-0.185821,,-0.145468,-0.120256
BND,2021,2021-01-04,2026-08-31,68,680000.0,717544.113417,664806.750308,0.055212,-0.022343,0.079327,-0.141358,649.0,-0.181082,,-0.136762,-0.181082
BND,2022,2022-01-03,2026-08-31,56,560000.0,598382.058234,560883.57704,0.068539,0.001578,0.066856,-0.099018,412.0,-0.161045,1089.0,-0.099018,-0.161045
BND,2023,2023-01-03,2026-08-31,44,440000.0,467794.194111,501137.043036,0.063169,0.138948,-0.066534,-0.056744,41.0,-0.07177,55.0,-0.047173,-0.036128
BND,2024,2024-01-02,2026-08-31,32,320000.0,332453.832228,348250.640509,0.038918,0.088283,-0.04536,-0.040351,49.0,-0.047404,168.0,-0.026406,-0.02834
