Date,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2018-08-08,14012.243291,14199.893174,14963.678626,14905.514929,13673.856915,14589.047619,14905.514929,14905.514929,14442.000742,14442.000742,12705.845771
2018-08-09,13994.607661,14182.021370,14944.845532,14886.755039,13656.647174,14570.686030,14886.755039,14886.755039,14423.824225,14423.824225,12689.854357
2018-08-10,13899.493300,14085.633252,14843.272879,14785.577198,13563.829761,14471.656352,14785.577198,14785.577198,14325.792693,14325.792693,12603.607752
2018-08-13,13847.129429,14032.568132,14787.353487,14729.875164,13512.730444,14417.136959,14729.875164,14729.875164,14271.822816,14271.822816,12556.125900
2018-08-14,13936.364014,14122.997733,14882.647125,14824.798397,13599.810072,14510.044824,14824.798397,14824.798397,14363.794237,14363.794237,12637.040915
2018-08-15,13833.768571,14019.028348,14773.085422,14715.662559,13499.692241,14403.226111,14715.662559,14715.662559,14258.052178,14258.052178,12544.010710
2018-08-16,13945.982019,14132.744541,14892.918195,14835.029543,13609.195809,14520.058747,14835.029543,14835.029543,14373.707228,14373.707228,12645.762208
2018-08-17,13992.469813,14179.854892,14942.562523,14884.480905,13654.560953,14568.460179,14884.480905,14884.480905,14421.620809,14421.620809,12687.915826
2018-08-20,14023.462600,14211.262731,14975.659730,14917.449463,13684.805286,14600.728763,14917.449463,14917.449463,14453.564150,14453.564150,12716.019076
2018-08-21,14053.921620,14242.129653,15008.186926,14949.850225,13714.528740,14632.441607,14949.850225,14949.850225,14484.957351,14484.957351,12743.638322
2018-08-22,14049.646848,14237.797634,15003.621896,14945.302940,13710.357201,14627.990868,14945.302940,14945.302940,14480.551472,14480.551472,12739.762099
2018-08-23,14029.338677,14217.217499,14981.934794,14923.700135,13690.539459,14606.846724,14923.700135,14923.700135,14459.620446,14459.620446,12721.347311
2018-08-24,14117.510350,14306.569954,15076.093349,15017.492697,13776.581845,14698.647924,15017.492697,15017.492697,14550.496357,14550.496357,12801.298512
2018-08-27,14223.843096,14414.326692,15189.646119,15130.604088,13880.346725,14809.357784,15130.604088,15130.604088,14660.090343,14660.090343,12897.717582
2018-08-28,14231.857945,14422.448876,15198.205179,15139.129879,13888.168022,14817.702559,15139.129879,15139.129879,14668.351009,14668.351009,12904.985187
2018-08-29,14309.875996,14501.511732,15281.520677,15222.121531,13964.301988,14898.932169,15222.121531,15222.121531,14748.761884,14748.761884,12975.729413
2018-08-30,14251.629573,14442.485282,15219.319306,15160.161936,13907.462178,14838.288073,15160.161936,15160.161936,14688.729036,14688.729036,12922.913455
2018-08-31,14252.164267,14443.027136,15219.890305,15160.730716,13907.983959,14838.844776,15160.730716,15160.730716,14689.280128,14689.280128,12923.398297
2018-09-04,14232.395414,14422.993542,15198.779142,15139.701611,13888.692511,14818.262152,15139.701611,15139.701611,14668.904962,14668.904962,12905.472545
