Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2018-12-26,2.635629,1.853708,2.232379,1.974563,1.596782,1.486064
2018-12-27,2.660124,1.86403,2.255679,1.987053,1.603338,1.491445
2018-12-28,2.656742,1.866038,2.254362,1.987559,1.605981,1.492409
2018-12-31,2.680654,1.876933,2.267836,2.000107,1.61308,1.497826
2019-01-02,2.682755,1.874639,2.273479,2.002698,1.613347,1.499338
2019-01-03,2.618716,1.845393,2.231615,1.977142,1.600765,1.491091
2019-01-04,2.70515,1.905319,2.305873,2.013435,1.629758,1.503818
2019-01-07,2.725447,1.917075,2.319651,2.021315,1.634853,1.506315
2019-01-08,2.751926,1.932559,2.338699,2.032165,1.642035,1.509998
2019-01-09,2.76464,1.950622,2.350116,2.038971,1.652257,1.512962
2019-01-10,2.776188,1.959511,2.361243,2.042528,1.655546,1.513738
2019-01-11,2.774905,1.952056,2.352197,2.043568,1.652997,1.51483
2019-01-14,2.759624,1.941447,2.340593,2.036017,1.64695,1.51169
2019-01-15,2.791936,1.958938,2.368313,2.050591,1.656063,1.517281
2019-01-16,2.798119,1.965532,2.375455,2.053663,1.659712,1.518594
2019-01-17,2.818998,1.976715,2.386371,2.062106,1.664755,1.521513
2019-01-18,2.856908,1.99822,2.418347,2.078481,1.675372,1.527416
2019-01-22,2.818882,1.969833,2.382827,2.062862,1.661852,1.522147
2019-01-23,2.82308,1.974421,2.383314,2.06555,1.664872,1.523456
2019-01-24,2.82588,1.980442,2.389117,2.068519,1.669362,1.525357
2019-01-25,2.849909,2.000513,2.411122,2.078374,1.678995,1.528657
2019-01-28,2.827862,1.98761,2.392832,2.068802,1.672577,1.525236
2019-01-29,2.824363,1.988758,2.391424,2.06885,1.67447,1.525858
2019-01-30,2.869039,2.016857,2.425944,2.089667,1.68963,1.534052
2019-01-31,2.892952,2.026893,2.441466,2.104112,1.69782,1.540857
2019-02-01,2.8954,2.02718,2.439979,2.102963,1.696159,1.53963
2019-02-04,2.916048,2.037789,2.45383,2.111503,1.701067,1.542611
2019-02-05,2.928996,2.051838,2.464451,2.119022,1.709707,1.54607
2019-02-06,2.925379,2.043236,2.456292,2.117099,1.705021,1.545335
2019-02-07,2.896685,2.023452,2.429248,2.104854,1.695294,1.540978
2019-02-08,2.900417,2.019725,2.425182,2.10774,1.694347,1.542612
2019-02-11,2.901933,2.019725,2.426749,2.108115,1.694102,1.542589
2019-02-12,2.939494,2.044384,2.461458,2.124837,1.706754,1.548909
2019-02-13,2.948359,2.045243,2.468454,2.127594,1.70622,1.549487
2019-02-14,2.941827,2.044957,2.464045,2.126085,1.707213,1.549551
2019-02-15,2.974254,2.067322,2.492501,2.140912,1.719006,1.555215
2019-02-19,2.979386,2.072482,2.496749,2.143919,1.722241,1.556704
2019-02-20,2.986269,2.080225,2.501633,2.146699,1.725995,1.557631
2019-02-21,2.975421,2.072482,2.494129,2.140221,1.720693,1.554649
2019-02-22,2.993267,2.085672,2.506319,2.150035,1.728971,1.559103
2019-02-25,2.9977,2.09112,2.513091,2.151718,1.73154,1.55957
2019-02-26,2.995484,2.093414,2.514315,2.151838,1.73362,1.560081
2019-02-27,2.993968,2.090833,2.509541,2.14954,1.730984,1.558664
2019-02-28,2.986969,2.083952,2.498307,2.145495,1.726697,1.556908
2019-03-01,3.007499,2.094561,2.512623,2.152195,1.730166,1.558531
2019-03-04,2.99595,2.088253,2.503501,2.148442,1.728052,1.557609
2019-03-05,2.992451,2.09112,2.502093,2.147484,1.730023,1.557527
2019-03-06,2.973321,2.078503,2.486469,2.139929,1.724325,1.555128
2019-03-07,2.949409,2.056427,2.463732,2.131552,1.714804,1.552964
2019-03-08,2.943459,2.050978,2.459,2.129901,1.712808,1.552775
2019-03-11,2.986385,2.078503,2.492214,2.148722,1.726694,1.559668
2019-03-12,2.997,2.083665,2.500249,2.155403,1.730912,1.56294
2019-03-13,3.017414,2.095708,2.515164,2.164141,1.736804,1.566109
2019-03-14,3.016363,2.093127,2.506791,2.162961,1.734899,1.565401
2019-03-15,3.031061,2.109471,2.523794,2.171065,1.744564,1.569053
2019-03-18,3.041909,2.118933,2.532234,2.175417,1.749041,1.570542
2019-03-19,3.042842,2.11922,2.533055,2.175429,1.748862,1.570395
2019-03-20,3.031995,2.115779,2.527021,2.17412,1.749945,1.571233
2019-03-21,3.066658,2.128396,2.552394,2.189849,1.756623,1.577345
2019-03-22,3.008358,2.085099,2.509926,2.168198,1.737861,1.570911
2019-03-25,3.00566,2.084551,2.508726,2.168003,1.738395,1.571218
2019-03-26,3.027361,2.096929,2.529617,2.177927,1.744951,1.575058
2019-03-27,3.013285,2.089157,2.518728,2.173142,1.742162,1.573886
2019-03-28,3.025015,2.094914,2.526087,2.178803,1.745462,1.576255
2019-03-29,3.044487,2.10614,2.537238,2.186916,1.750769,1.579064
